url	name	price_rub	weight_g	kcal_per_100g	proteins_g_per_100g	fats_g_per_100g	carbs_g_per_100g	shelf_life_days	storage_temp_min_c	storage_temp_max_c	category_main	category_path	brand	country	manufacturer	rating	ratings_count	ingredients	tags	image_path
https://vkusvill.ru/goods/baklazhany-po-sychuanski-200-g-114282.html	Баклажаны по-сычуаньски, 200 г	278.0	200.0	227.1	1.4	15.9	19.6	4.0	2.0	6.0	Закуски	Готовая еда / Закуски	ВкусВилл	Россия	"ООО ""МИРЛИС"":Россия, 109052, г. Москва, ул. Нижегородская, дом 29-33, строение 15, 31."	4.8	2820.0	баклажаны свежие, перец сладкий замороженный, лук репчатый свежий, масло подсолнечное рафинированное дезодорированное, вода питьевая, соус соевый (вода питьевая, соевые бобы, соль пищевая, пшеничная мука, сахар), крахмал кукурузный, сахар, регулятор кислотности – уксусная кислота ледяная, кинза свежая (зелень), соль пищевая, чеснок сушеный гранулированный, семена кунжута обжаренные, перец красный чили дробленый, стабилизаторы (ксантановая камедь, гуаровая камедь), паприка сладкая молотая Продукция производится на предприятии, где используются аллергены: арахис, горчица, диоксид серы (сульфиты), моллюски, ракообразные, рыба, молоко (лактоза), орехи, сельдерей, яйца.	Баклажаны со сладким перцем и луком приправлены специями и отличаются характерной для сычуаньских рецептов остротой. Кисло-сладкий соус пропитывает овощи, делая их сочными и ароматными, а кинза и кунжут придают вкусу оригинальный акцент. Баклажаны можно подавать в качестве гарнира к мясу и морепродуктам или дополнить ими рис и традиционную азиатскую лапшу. Это блюдо разнообразит ваше меню и позволит познакомиться с китайской национальной кухней не выходя из дома.	\ds-GrandZah\data\pics\baklazhany-po-sychuanski-200-g-114282.jpg
https://vkusvill.ru/goods/borshch-s-govyadinoy-42530.html	Борщ с говядиной	218.0	390.0	33.0	1.8	1.0	4.2	4.0	2.0	6.0	Супы	Готовая еда / Супы	ВкусВилл	Россия	"ООО КУЛИНАРНАЯ ФАБРИКА ""РЕСТОРАН ДОМА"":Российская Федерация, 142103, Московская область, Городской округ Подольск, 38-й колометр автомагистрали М-2 ""Крым"", дом 4, помещение № 1. ООО ""ЮНИОН-ФУД"":Россия, 141421, Московская область, городской округ Химки, город Химки, микрорайон Сходня, улица Первомайская, дом 56, корпус 2, 4 и 5. ООО ""ИНГРЕДИКА"":РФ, 143130, Московская область, рабочий поселок Тучково, город Руза, микрорайон Восточный, д. 6/1, стр. 2, комн. 13 ООО ""МИРЛИС"":Россия, 109052, г. Москва, улица Нижегородская, дом 29-33, строение 15,31"	4.9	52727.0	"Бульон говяжий процеженный (вода питьевая, кости говяжьи, соль пищевая, лук репчатый свежий, морковь столовая свежая, корень сельдерея свежий, чеснок свежий), заправка (свекла столовая свежая, томатная паста массовая доля сухих веществ 36-38%, масло подсолнечное рафинированное дезодорированное, сахар, соль пищевая, уксус столовый), капуста белокочанная свежая, картофель свежий, говядина отварная (говядина замороженная, соль пищевая), лук репчатый свежий, морковь столовая свежая, сало с чесноком (шпик свиной замороженный, чеснок свежий), перец сладкий замороженный, специи (соль пищевая, сахар, перец черный молотый, лавровый лист), масло подсолнечное рафинированное дезодорированное, томатная паста массовая доля сухих веществ 36-38%, зелень укропа свежая, уксус столовый 9%. Продукция производится на предприятии, где используются арахис, аспартам, горчица, диоксид серы (сульфиты), злаки, содержащие глютен, кунжут, люпин, моллюски, ракообразные, рыба, молоко (лактоза), орехи, соя, яйца. ФАСТЛЭНД ООО: бульон говяжий процеженный (вода питьевая, говядина, кости говяжьи, лук репчатый свежий, морковь столовая свежая, соль пищевая, петрушка свежая, укроп свежий, сахар, чеснок свежий), свёкла столовая свежая, картофель свежий, говядина (произведено из мороженого сырья), капуста белокочанная свежая, лук репчатый свежий, морковь столовая свежая, перец сладкий замороженный, сахар, томатная паста с массовой долей сухих веществ 36-38%, соль пищевая, уксус столовый 9%, масло подсолнечное рафинированное дезодорированное, чеснок свежий, укроп свежий, перец чёрный молотый, лавровый лист. Продукция производится на предприятии, где используются горчица, арахис, злаки, содержащие глютен, кунжут, орехи, моллюски, ракообразные, молоко (лактоза), рыба, соя, яйца. РЕСТОРАН ДОМА КУЛИНАРНАЯ ФАБРИКА ООО: бульон говяжий процеженный (вода питьевая, кости говяжьи, соль пищевая, лук репчатый свежий, морковь столовая свежая, корень сельдерея свежий, чеснок свежий), заправка (свёкла столовая свежая, томатная паста массовая доля сухих растворимых веществ 25% (вода питьевая, томаты свежие), масло подсолнечное рафинированное дезодорированное, сахар, соль пищевая), капуста белокочанная свежая, картофель свежий, говядина отварная (произведено из мороженого сырья), лук репчатый свежий, морковь столовая свежая, перец сладкий быстрозамороженный, соль пищевая, перец чёрный молотый, лавровый лист, масло подсолнечное рафинированное дезодорированное, укроп свежий (зелень), уксус столовый 9%. Продукция производится на предприятии, где используются арахис, горчица, кунжут, молоко (лактоза), орехи, соя и яйца. ИНГРЕДИКА ООО: основа для борща (вода питьевая, свекла столовая тушеная (свекла столовая отварная, вода питьевая, паста томатная (томаты, соль пищевая), масло подсолнечное рафинированное дезодорированное, сахар, уксус столовый 9%, соль пищевая, лавровый лист), овощи пассерованные (лук репчатый свежий, морковь столовая свежая, масло подсолнечное рафинированное дезодорированное), капуста белокочанная свежая, картофель свежий, сок свеклы прямого отжима, бульон сухой (чеснок, лавровый лист, соль пищевая, сахар, экстракт дрожжей, ароматизатор натуральный ""Говядина), уксус столовый 9%, чеснок свежий), говядина томленая (произведено из охлаждённого сырья). Продукция производится на предприятии, где используются арахис, аспартам, горчица, диоксид серы (сульфиты), злаки, содержащие глютен, кунжут, люпин, моллюски, ракообразные, рыба, молоко (лактоза), орехи, соя, яйца. КУЛИНАРНАЯ ФАБРИКА ""КОРОЛЕВСКИЙ ВКУС"" ООО: бульон говяжий процеженный (вода питьевая, говядина, соль пищевая, лук репчатый свежий, морковь столовая свежая, корень сельдерея свежий, чеснок свежий), заправка (свёкла столовая свежая, томатная паста массовая доля сухих растворимых веществ 25% (вода питьевая, томаты свежие), масло подсолнечное рафинированное дезодорированное, сахар, соль пищевая), капуста белокочанная свежая, картофель свежий, говядина отварная (произведено из охлаждённого сырья), лук репчатый свежий, морковь столовая свежая, соль пищевая, перец чёрный молотый, лавровый лист, масло подсолнечное рафинированное дезодорированное, укроп свежий (зелень), уксус столовый 9%. Продукция производится на предприятии, где используются арахис, горчица, злаки, содержащие глютен, кунжут, рыба, молоко (лактоза), орехи, соя, яйца."	Готовим насыщенный борщ так же, как вы делаете это сами на домашней кухне: без ароматизаторов и консервантов. Варим на крепком говяжьем бульоне с кусочками нежного мяса, щедрой заправкой из сладкой свёклы и свежими овощами. Можно разогреть в СВЧ-печи прямо в упаковке, предварительно сняв крышку.	\ds-GrandZah\data\pics\borshch-s-govyadinoy-42530.jpg
https://vkusvill.ru/goods/fetuchini-s-kuritsey-i-lisichkami-114372.html	Фетучини с курицей и лисичками	328.0	220.0	165.4	6.8	6.6	19.7	4.0	2.0	6.0	Вторые блюда с птицей	Готовая еда / Вторые блюда / Вторые блюда с птицей	ВкусВилл	Россия	"ООО ""ГЛОБАЛ ФУД"":Россия, 140073, Московская область, городской округ Люберцы, рабочий поселок Томилино, территория Логистический центр, Рязанское шоссе, корпус 12Б, строение 1"	4.6	7140.0	Макаронные изделия из твердых сортов пшеницы отварные (вода питьевая, макароны (мука из твердых сортов пшеницы), масло оливковое рафинированное, соль пищевая), сливочный соус (соус бешамель (молоко питьевое ультрапастеризованное м.д.ж. 3,2%, мучная жировая пассеровка (мука пшеничная хлебопекарная высшего сорта, масло подсолнечное рафинированное дезодорированное, масло сладко-сливочное несоленое м.д.ж 82,5%), соль пищевая, орех мускатный молотый), вода питьевая, филе куриной грудки произведено из мороженого сырья, сливки питьевые м.д.ж. 22%, лук репчатый пассерованный (лук репчатый свежий, масло подсолнечное рафинированное дезодорированное), сыр пармезан м.д.ж. в сухом веществе 40% (молоко пастеризованное, закваска мезофильных культур молочнокислых бактерий, молокосвертывающий ферментный препарат микробного происхождения, соль пищевая, уплотнитель -хлорид кальция), масло базиликовое (масло подсолнечное рафинированное дезодорированное, петрушка свежая (зелень), базилик свежий (зелень), соль пищевая, чеснок свежий), масло подсолнечное рафинированное дезодорированное, чеснок свежий, соль пищевая, перец белый молотый, перец черный молотый), грибы лисички отварные (вода питьевая, грибы лисички замороженные, соль пищевая), сыр пармезан м.д.ж. в сухом веществе 40% (молоко пастеризованное, закваска мезофильных культур молочнокислых бактерий, молокосвертывающий ферментный препарат микробного происхождения, соль пищевая, уплотнитель-хлорид кальция) Продукция производится на предприятии, где используются аллергены: арахис, горчица, кунжут, моллюски, ракообразные, рыба, орехи, сельдерей, соя, яйца.	Длинные полоски пасты из твёрдых сортов пшеницы дополнены компанией куриного филе и ароматных лисичек. Такой сорт макаронных изделий имеет нужную плотность, при этом отличается эластичностью. Сливочный соус получается густым и бархатным, с лёгкими нотками чеснока и пряного розмарина. Лук придаёт сладость, а пармезан делает вкус насыщеннее и добавляет глубину. Масло с базиликом даёт травяной акцент, который делает сочетание пасты, курицы и грибов особенно выразительным. Блюдо гармоничное и сытное, но при этом лёгкое на вкус — та самая паста, которой хочется наслаждаться, пока она ещё горячая и ароматная.	\ds-GrandZah\data\pics\fetuchini-s-kuritsey-i-lisichkami-114372.jpg
https://vkusvill.ru/goods/kotleta-kurinaya-s-farfalle-75244.html	Котлета куриная с фарфалле	246.0	200.0	203.1	10.2	8.7	21.0	4.0	2.0	6.0	Вторые блюда с птицей	Готовая еда / Вторые блюда / Вторые блюда с птицей	ВкусВилл	Россия	"ООО КУЛИНАРНАЯ ФАБРИКА ""КОРОЛЕВСКИЙ ВКУС"":Российская Федерация,141070, Московская обл., г. Королев, ул. Космонавта Стрекалова, д. 52 ООО ""ЭКОФУД"":Российская Федерация 141832, Московская область, город Дмитров, поселок Горшково, дом 20А"	4.8	43521.0	Котлета куриная (филе грудки куриной охлажденное, меланж яичный жидкий пастеризованный охлажденный, масло подсолнечное рафинированное дезодорированное, крахмал картофельный, соль пищевая, кориандр молотый, перец черный молотый ), макаронные изделия отварные (вода питьевая, макаронные изделия (мука из твердой пшеницы высшего сорта, вода питьевая), масло подсолнечное рафинированное дезодорированное, соль пищевая). Продукция производится на предприятии, где используются аллергены: горчица, кунжут, рыба, молоко (лактоза), орехи, соя.	Нежная котлета из куриной грудки и макароны-бабочки из твёрдой пшеницы. Сытное блюдо без острых специй, лука и чеснока. С коротким понятным составом и действительно домашним вкусом.	\ds-GrandZah\data\pics\kotleta-kurinaya-s-farfalle-75244.jpg
https://vkusvill.ru/goods/kotleta-kurinaya-s-kartofelnym-pyure-20969.html	Котлета куриная с картофельным пюре	280.0	250.0	155.0	12.6	6.6	11.3	4.0	2.0	6.0	Детские готовые блюда	Товары для детей / Детские готовые блюда	ВкусВилл	Россия	"ООО ""ПОЛЯНА"": Россия, 129226, г. Москва, улица Докукина, дом 10, строение 11. ООО ""ГЛОБАЛ ФУД"":Россия, 140073, Московская область, городской округ Люберцы, рабочий поселок Томилино, территория Логистический центр, Рязанское шоссе, корпус 12Б, строение 1 ООО ""ГУД ФУД"":Российская Федерация,109316, город Москва, улица Талалихина, дом 41, строение 12"	4.8	73547.0	Картофельное пюре (картофель отварной, молоко питьевое м.д.ж.3,2%, масло сладко-сливочное несоленое м.д.ж. 82,5 %, сливки питьевые м.д.ж. 22%, соль пищевая), котлета куриная (филе куриной грудки охлажденное, яйцо куриное пищевое, масло подсолнечное рафинированное дезодорированное, мука пшеничная хлебопекарная высший сорт, майонез м.д.ж. 67% (масло подсолнечное рафинированное дезодорированное, вода питьевая, сахар, жидкий яичный желток, соль пищевая, уксус спиртовой, масло горчичное нерафинированное коричневое), крахмал картофельный, соль пищевая, кумин молотый). Продукция производится на предприятии, где используются аллергены: арахис, диоксид серы (сульфиты), кунжут, моллюски, ракообразные, рыба, орехи, сельдерей, соя.	Блюдо, ставшее традиционным для русской кухни. Золотистая котлетка из рубленного филе куриной грудки и воздушное пюре станут полноценным сытным обедом. Сбалансированный и питательный приём пищи, который можно взять с собой благодаря герметичной упаковке. Гликемический индекс (ГИ)* = 43 Гликемическая нагрузка (ГН)* 100 г продукта = 5 Данные получены расчетным путем для поставщика МК ЭКО Продукт относится к категории с низким гликемическим индексом и с низкой гликемической нагрузкой. * средние значения (возможны незначительные отклонения) без смены категории продукта	\ds-GrandZah\data\pics\kotleta-kurinaya-s-kartofelnym-pyure-20969.jpg
https://vkusvill.ru/goods/krem-sup-s-tykvoy-i-zharenymi-krevetkami-113296.html	Крем-суп с тыквой и жареными креветками	278.0	270.0	73.3	2.6	4.1	6.5	4.0	2.0	6.0	Супы	Готовая еда / Супы	ВкусВилл	Россия	Корона Фуд ООО:Россия, 141400, Московская область, город Химки, проезд Северный, корпус 1.	4.8	7854.0	вода питьевая, морковь столовая свежая, тыква свежая, картофель свежий, сливки питьевые м.д.ж. 33%, молоко питьевое м.д.ж. 3,2 %, креветки белоногие очищенные жареные (креветки белоногие (Litopenaeus vannamei) очищенные (произведено из мороженого сырья, продукция аквакультуры), масло подсолнечное рафинированное дезодорированное, чеснок свежий), стебель сельдерея свежий, лук репчатый свежий, семена тыквы очищенные, соль пищевая, корень имбиря свежий, перец черный молотый, куркума молотая, мускатный орех дроблёный. Продукция производится на предприятии, где используются аллергены: арахис, горчица, злаки, содержащие глютен, кунжут, моллюски, рыба, орехи, соя, яйца.	Нежный картофельно-тыквенный суп с морепродуктами. Сливки придают вкусу мягкость и лёгкость, а специи добавляют тёплые акценты с лёгкой пряной нотой. Креветки слегка обжарены и добавлены вместе с хрустящими семенами тыквы. Подогрейте суп и возьмите кусочек хлеба с плотным мякишем или свежие тосты, которые можно макать в густую кремовую основу. Блюдо можно подать на обед или на ужин, когда хочется согреться и порадовать себя чем-то необычным.	\ds-GrandZah\data\pics\krem-sup-s-tykvoy-i-zharenymi-krevetkami-113296.jpg
https://vkusvill.ru/goods/kurinoe-file-zapechennoe-s-tsukini-i-motsarelloy-111212.html	Куриное филе запеченное с цукини и моцареллой	318.0	200.0	94.6	12.4	3.8	2.7	4.0	2.0	6.0	Вторые блюда с птицей	Готовая еда / Вторые блюда / Вторые блюда с птицей	ВкусВилл	Россия	"ООО ""ФУДМАНИЯ"":Россия, 115230, г. Москва, вн.тер.г. муниципальный округ Нагорный, проезд Электролитный , д.3А, стр. 2"	4.7	13947.0	филе куриной грудки, цукини свежий, сыр моцарелла м.д.ж. в сухом веществе 45% (молоко коровье пастеризованное, соль пищевая морская, закваска термофильных культур прямого внесения, молокосвертывающий ферментный препарат животного происхождения), итальянские травы сушеные (орегано, базилик, майоран, розмарин, чабер, тимьян, шалфей), соль пищевая	Ароматная куриная грудка со смесью душистых трав и гарниром из цукини с сыром. Классика итальянской кухни хорошо знакома каждому, ведь в составе только простые ингредиенты: куриное филе, нежная моцарелла и лёгкие кабачки. Продукт содержит минимальное количество соли. Это готовое решение для основного блюда, когда нет времени на долгую готовку, но хочется побаловать себя и близких аппетитным и полезным обедом или ужином. Продукт достаточно разогреть на сковороде или в микроволновой печи и подать на стол с любимым соусом.	\ds-GrandZah\data\pics\kurinoe-file-zapechennoe-s-tsukini-i-motsarelloy-111212.jpg
https://vkusvill.ru/goods/kuritsa-s-kartofelnym-khashbraunom-v-tortile-79662.html	Курица с картофельным хашбрауном в тортилье	298.0	250.0	282.6	6.5	19.0	21.4	4.0	2.0	6.0	Сэндвичи, шаурма и бургеры	Готовая еда / Сэндвичи, шаурма и бургеры	ВкусВилл	Россия	"ООО ""ВКУСТЕХ"":Россия, 111402, г.Москва, вн.тер.г. муниципальный округ Вешняки, Аллея Жемчуговой, д. 1а ООО ""АГРОХОЛОД"":Россия ,143006, Московская область, город Одинцово, улица Транспортная, дом 2, строение 1 ООО ""ПРОМЫШЛЕННАЯ КУЛИНАРИЯ"":Россия, 109052, город Москва, Рязанский проспект, дом 4а, строение 2"	4.7	36675.0	Тортилья пшеничная (мука пшеничная хлебопекарная высшего сорта, вода питьевая, масло подсолнечное рафинированное дезодорированное, соль пищевая, разрыхлитель – гидрокарбонат натрия (сода пищевая), регулятор кислотности – лимонная кислота), филе куриной грудки жареное в панировке (филе куриной грудки замороженное, перец черный молотый, чеснок свежий, соль пищевая, мука пшеничная хлебопекарная высшего сорта, крахмал кукурузный, меланж яичный жидкий, сахар, чеснок сушеный, паприка острая, куркума молотая, масло подсолнечное рафинированное дезодорированное), картофельный хашбраун (картофель свежий, чеснок сушеный молотый, соль пищевая, сахар, мука пшеничная хлебопекарная высшего сорта, меланж яичный жидкий, масло подсолнечное рафинированное дезодорированное), салат айсберг свежий, томаты свежие, сыр чеддер м.д.ж. в сухом веществе 48% (молоко нормализованное пастеризованное, соль пищевая, бактериальная закваска термофильных молочнокислых микроорганизмов, молокосвертывающий ферментный препарат животного происхождения, уплотнитель-хлорид кальция), майонез м.д.ж. 67% (масло подсолнечное рафинированное дезодорированное, вода питьевая, яичный желток, сахар, уксус столовый, соль пищевая, молочный белок, сок лимона концентрированный, эфирное масло горчичное). Продукция производится на предприятии, где используются аллергены: горчица, рыба, орехи.	Сочное куриное филе в панировке с паприкой и куркумой дополнено нежным картофельным хашбрауном. Свежие листья салата и томаты добавляют закуске лёгкость, а чеддер — сливочные ноты. Аппетитная начинка заправлена небольшой порцией майонеза и завёрнута в тонкую пшеничную тортилью. Блюдо можно подавать и в тёплом, и в холодном виде. Сытная начинка делает его хорошим вариантом для готового обеда или ужина без лишних хлопот.	\ds-GrandZah\data\pics\kuritsa-s-kartofelnym-khashbraunom-v-tortile-79662.jpg
https://vkusvill.ru/goods/lapsha-iz-batata-s-krevetkami-v-souse-teriyaki-113300.html	Лапша из батата с креветками в соусе терияки	308.0	210.0	141.6	4.7	2.8	24.4	4.0	2.0	6.0	Вторые блюда с рыбой и морепродуктами	Готовая еда / Вторые блюда / Вторые блюда с рыбой и морепродуктами	ВкусВилл	Россия	"ООО ""ФУДМАРКЕТ ЦЕНТР"":Россия, 119192, город Москва, Мичуринский проспект, дом № 8, строение 1, этаж Цокольный, помещение 3, комната 7"	4.6	2547.0	Лапша бататовая отварная (вода питьевая, лапша бататовая (крахмал батата)), креветки (Litopenaeus vannamei) очищенные без головы (произведено из мороженного сырья), кабачки свежие, фасоль стручковая быстрозамороженная, грибы вешенки свежие, масло подсолнечное рафинированное дезодорированное, масло кунжутное рафинированное, масло оливковое Extra virgin, соус терияки (соус соевый (вода питьевая, соевые бобы, пшеница, соль пищевая), вода питьевая, сахар, вишня быстрозамороженная без косточки, апельсины свежие, перец чили свежий, мука пшеничная хлебопекарная высшего сорта, чеснок свежий, масло подсолнечное рафинированное дезодорированное, корень имбиря свежий, уксус рисовый из пищевого сырья 4,1 % (уксус рисовый из пищевого сырья, вода питьевая, сахар, соль пищевая), семена кунжута белые, корица палочки), проростки соевых бобов, кинза свежая, соль пищевая, тимьян свежий. Продукция производится на предприятии, где используются аллергены: арахис, горчица, диоксид серы (сульфиты), моллюски, рыба, молоко (лактоза), орехи, сельдерей, яйца.	Стеклянная лапша из батата получается особенно нежной и слегка тягучей, а в сочетании с креветками она приобретает морской оттенок. Овощи добавляют блюду свежесть и лёгкий хруст, а грибы делают вкус насыщеннее. Соус терияки с нотами цитрусов и сладковато-острым акцентом подчёркивает самобытный азиатский характер. Перед подачей лапшу лучше разогреть в микроволновой печи. Её яркий аромат перенесёт вас на шумную улицу японского мегаполиса, где так много ресторанов традиционной кухни и можно попробовать классические рецепты со свежими морепродуктами.	\ds-GrandZah\data\pics\lapsha-iz-batata-s-krevetkami-v-souse-teriyaki-113300.jpg
https://vkusvill.ru/goods/mini-chiabatta-s-kurinoy-vetchinoy-omletom-i-syrom-2-sht-95582.html	Мини-чиабатта с куриной ветчиной, омлетом и сыром (2 шт)	298.0	255.0	273.5	14.1	13.9	23.0	4.0	2.0	6.0	Сэндвичи, шаурма и бургеры	Готовая еда / Сэндвичи, шаурма и бургеры	ВкусВилл	Россия	"ООО ""ПИНС"":Россия, 142020, Московская область, г.Домодедово,п.Востряково,улица Рощинская, д20а ООО ""ИДЕОЛОГИЯ ЕДЫ"":Россия, 143912, Московская область, г. Балашиха, ул. Западная, дом 7."	4.9	48541.0	"Чиабатта (мука пшеничная высшего сорта, вода питьевая, масло подсолнечное рафинированное дезодорированное, сахар, крупа манная, дрожжи хлебопекарные прессованные (дрожжи (Saccharomyces cerevisiae)), соль пищевая), омлет (меланж яичный жидкий пастеризованный,соль пищевая), томаты свежие, майонез м.д.ж. 67% (масло подсолнечное рафинированное дезодорированное, вода питьевая, яичный желток, сахар, уксус спиртовой, соль пищевая, молочный белок, концентрированный лимонный сок, масло горчичное эфирное), изделие из мяса птицы ветчина куриная (кусковое мясо птицы (филе грудки), вода питьевая, соль пищевая, сахар, экстракты специй (кардамон, перец черный молотый)), сыр ""гауда"" м.д.ж. в сухом веществе 41% (пастеризованное коровье молоко,бактериальные культуры (мезофильные и термофильные молочнокислые микроорганизмы)), салат свежий Романо. Продукция производится на предприятии, где используются аллергены: кунжут, рыба, орехи, сельдерей, соя."	Сытный завтрак в удобном формате сэндвича. В наборе 2 мини-чиабатты с классическим для утра набором: нежным омлетом, ломтиками ветчины и сыра, свежими овощами и соусом.	\ds-GrandZah\data\pics\mini-chiabatta-s-kurinoy-vetchinoy-omletom-i-syrom-2-sht-95582.jpg
